maillage,k,dimension,epoch,fonction de similarite,qualite
150,2,0,0,"similarite_trajectoires_JACCARD",0.23910874625872963
150,5,0,0,"similarite_trajectoires_JACCARD",0.2600598603259062
150,7,0,0,"similarite_trajectoires_JACCARD",0.26804123711340205
150,10,0,0,"similarite_trajectoires_JACCARD",0.27768540073162623
150,15,0,0,"similarite_trajectoires_JACCARD",0.28799467908214166
150,20,0,0,"similarite_trajectoires_JACCARD",0.29065513801130693
150,2,0,0,"similarite_trajectoires_MRR",0.2846691054206851
150,5,0,0,"similarite_trajectoires_MRR",0.2936481543066179
150,7,0,0,"similarite_trajectoires_MRR",0.29497838377120056
150,10,0,0,"similarite_trajectoires_MRR",0.29664117060192885
150,15,0,0,"similarite_trajectoires_MRR",0.29564349850349186
150,20,0,0,"similarite_trajectoires_MRR",0.29497838377120056
200,2,0,0,"similarite_trajectoires_JACCARD",0.22727272727272727
200,5,0,0,"similarite_trajectoires_JACCARD",0.2477423239012643
200,7,0,0,"similarite_trajectoires_JACCARD",0.2591812161348585
200,10,0,0,"similarite_trajectoires_JACCARD",0.26971703792895846
200,15,0,0,"similarite_trajectoires_JACCARD",0.2766405779650813
200,20,0,0,"similarite_trajectoires_JACCARD",0.27934978928356413
200,2,0,0,"similarite_trajectoires_MRR",0.27302829620710417
200,5,0,0,"similarite_trajectoires_MRR",0.28446718844069835
200,7,0,0,"similarite_trajectoires_MRR",0.2865743527995184
200,10,0,0,"similarite_trajectoires_MRR",0.28777844671884406
200,15,0,0,"similarite_trajectoires_MRR",0.2859723058398555
200,20,0,0,"similarite_trajectoires_MRR",0.28537025888019263
400,2,0,0,"similarite_trajectoires_JACCARD",0.24269377382465057
400,5,0,0,"similarite_trajectoires_JACCARD",0.2670902160101652
400,7,0,0,"similarite_trajectoires_JACCARD",0.2742058449809403
400,10,0,0,"similarite_trajectoires_JACCARD",0.2797966963151207
400,15,0,0,"similarite_trajectoires_JACCARD",0.2823379923761118
400,20,0,0,"similarite_trajectoires_JACCARD",0.28284625158831006
400,2,0,0,"similarite_trajectoires_MRR",0.2655654383735705
400,5,0,0,"similarite_trajectoires_MRR",0.27598475222363406
400,7,0,0,"similarite_trajectoires_MRR",0.27623888182973316
400,10,0,0,"similarite_trajectoires_MRR",0.27395171537484114
400,15,0,0,"similarite_trajectoires_MRR",0.2726810673443456
400,20,0,0,"similarite_trajectoires_MRR",0.2721728081321474
500,2,0,0,"similarite_trajectoires_JACCARD",0.23161567364465915
500,5,0,0,"similarite_trajectoires_JACCARD",0.25389157273215246
500,7,0,0,"similarite_trajectoires_JACCARD",0.261406333870102
500,10,0,0,"similarite_trajectoires_JACCARD",0.26435856146001074
500,15,0,0,"similarite_trajectoires_JACCARD",0.26623725174449814
500,20,0,0,"similarite_trajectoires_JACCARD",0.2646269457863661
500,2,0,0,"similarite_trajectoires_MRR",0.2581857219538379
500,5,0,0,"similarite_trajectoires_MRR",0.2702630166398282
500,7,0,0,"similarite_trajectoires_MRR",0.26918947933440684
500,10,0,0,"similarite_trajectoires_MRR",0.2686527106816962
500,15,0,0,"similarite_trajectoires_MRR",0.2673107890499195
500,20,0,0,"similarite_trajectoires_MRR",0.26570048309178745
